ts_code,name,invest_type,category
020187.OF,上银国企红利C,混合型,混合型-偏股
018688.OF,鑫元鑫选稳健养老目标一年持有A,混合型,混合型-偏股
012306.OF,浦银安盛养老目标日期2050五年持有,混合型,混合型-偏股
020756.OF,南方养老目标日期2055五年持有Y,混合型,混合型-偏股
020721.OF,国寿安保高端装备C,股票型,主动股票型
019730.OF,华夏国企红利C,混合型,混合型-偏股
020469.OF,长城半导体产业A,混合型,混合型-偏股
020720.OF,国寿安保高端装备A,股票型,主动股票型
019729.OF,华夏国企红利A,混合型,混合型-偏股
020470.OF,长城半导体产业C,混合型,混合型-偏股
019697.OF,汇添富鑫享添利六个月持有B,混合型,混合型-偏股
020151.OF,中信保诚景气优选A,混合型,混合型-偏股
020152.OF,中信保诚景气优选C,混合型,混合型-偏股
020795.OF,易方达养老目标日期2055五年持有Y,混合型,混合型-偏股
020648.OF,诺安中小盘精选C,混合型,混合型-偏股
020649.OF,诺安中小盘精选D,混合型,混合型-偏股
020757.OF,南方养老目标日期2060五年持有Y,混合型,混合型-偏股
020306.OF,信澳星煜智选C,混合型,混合型-偏股
020305.OF,信澳星煜智选A,混合型,混合型-偏股
019080.OF,国富招瑞优选C,股票型,主动股票型
020726.OF,建信灵活配置C,灵活配置型,混合型-平衡
019079.OF,国富招瑞优选A,股票型,主动股票型
019773.OF,东方红智享三年持有A,混合型,混合型-偏股
019774.OF,东方红智享三年持有C,混合型,混合型-偏股
018705.OF,财通鼎欣量化选股18个月定开,混合型,混合型-偏股
020168.OF,广发信远回报A,混合型,混合型-偏股
019952.OF,平安价值远见A,混合型,混合型-偏股
019343.OF,富国价值发现C,混合型,混合型-偏股
020288.OF,永赢红利慧选C,混合型,混合型-偏股
020287.OF,永赢红利慧选A,混合型,混合型-偏股
019342.OF,富国价值发现A,混合型,混合型-偏股
019393.OF,嘉实匠心严选C,混合型,混合型-偏股
020745.OF,中欧预见平衡养老三年持有Y,混合型,混合型-偏股
019953.OF,平安价值远见C,混合型,混合型-偏股
020169.OF,广发信远回报C,混合型,混合型-偏股
019392.OF,嘉实匠心严选A,混合型,混合型-偏股
020734.OF,中欧预见养老目标2045三年持有Y,混合型,混合型-偏股
010910.OF,交银安悦平衡养老目标三年持有A,混合型,混合型-偏股
020425.OF,方正富邦致盛C,混合型,混合型-偏股
020424.OF,方正富邦致盛A,混合型,混合型-偏股
020159.OF,信澳核心智选C,混合型,混合型-偏股
019328.OF,国泰金盛回报A,混合型,混合型-偏股
020682.OF,建信环保产业C,股票型,主动股票型
019329.OF,国泰金盛回报C,混合型,混合型-偏股
018911.OF,中欧科技成长C,混合型,混合型-偏股
018910.OF,中欧科技成长A,混合型,混合型-偏股
020158.OF,信澳核心智选A,混合型,混合型-偏股
018999.OF,万家趋势领先A,混合型,混合型-偏股
020693.OF,长城健康消费C,混合型,混合型-偏股
019000.OF,万家趋势领先C,混合型,混合型-偏股
019651.OF,汇添富稳健睿选一年持有B,混合型,混合型-偏股
019501.OF,博道明远C,混合型,混合型-偏股
019574.OF,太平科创精选C,混合型,混合型-偏股
019575.OF,太平科创精选A,混合型,混合型-偏股
020364.OF,博时卓越成长A,混合型,混合型-偏股
019497.OF,博道明远A,混合型,混合型-偏股
019322.OF,中信建投致远A,混合型,混合型-偏股
019323.OF,中信建投致远C,混合型,混合型-偏股
020365.OF,博时卓越成长C,混合型,混合型-偏股
020304.OF,信澳星亮智选C,混合型,混合型-偏股
020303.OF,信澳星亮智选A,混合型,混合型-偏股
020503.OF,汇丰晋信新动力C,混合型,混合型-偏股
020623.OF,汇添富稳健收益B,混合型,混合型-偏股
018806.OF,华安国企机遇A,混合型,混合型-偏股
018807.OF,华安国企机遇C,混合型,混合型-偏股
019600.OF,鹏华智投800A,混合型,混合型-偏股
019601.OF,鹏华智投800C,混合型,混合型-偏股
020601.OF,国寿安保景气优选C,混合型,混合型-偏股
020600.OF,国寿安保景气优选A,混合型,混合型-偏股
020410.OF,长城均衡优选C,混合型,混合型-偏股
020354.OF,农银瑞益一年持有A,混合型,混合型-偏股
018513.OF,易方达养老目标日期2045五年持有A,混合型,混合型-偏股
